web-scraper-order;web-scraper-start-url;article_links;article_links-href;Type_chaussure;Prix;Adresse;Image-src
1738921611-1;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016;Chaussures Enfants;Prix sur demande;Guédiawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
1738921634-2;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022;Chaussures Enfants;Prix sur demande;Guédiawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
1738921654-3;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661;Chaussures Enfants;Prix sur demande;Sénégal;https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
1738921670-4;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038;Chaussures Enfants;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921683-5;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041;Chaussures Enfants;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921692-6;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044;Chaussures Enfants;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921720-7;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099;Chaussures Enfants;Prix sur demande;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921737-8;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468;Chaussures Enfants;4 000 CFA;Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921757-9;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879;Chaussures Enfants;Prix sur demande;Fann, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921771-10;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881;Chaussures Enfants;Prix sur demande;Fann, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921782-11;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796883;Chaussures Enfants;Prix sur demande;Fann, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921791-12;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-mocassins-enfant-797188;Chaussures Enfants;Prix sur demande;Les Parcelles Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
1738921800-13;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799181;Chaussures Enfants;Prix sur demande;Petit-Mbao, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
1738921810-14;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;favorite_border5années;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799556;Chaussures Enfants;Prix sur demande;Biscuiterie, Dakar, Sénégal;https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg
