web-scraper-order;web-scraper-start-url;article_links;article_links-href;Type_chaussures;Prix;Adresse;Image-src
1738053204-1;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-2317931;Chaussures Homme;25 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5081254_uploaded_image1_1733601174.jpg
1738053207-2;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-2318357;Chaussures Homme;Prix sur demande;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_2800924_uploaded_image1_1606844322.jpg
1738053210-3;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-2318443;Chaussures Homme;Prix sur demande;Sénégal;https://images.coinafrique.com/thumb_3047707_uploaded_image2_1617895449.jpeg
1738053214-4;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-2318723;Chaussures Homme;6 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4932549_uploaded_image1_1725710116.jpg
1738053217-5;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/sandales-2318722;Chaussures Homme;6 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg
1738053220-6;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-2318883;Chaussures Homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5002850_uploaded_image1_1729434066.jpg
1738053223-7;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-tn-2318886;Chaussures Homme;20 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4930602_uploaded_image1_1725607780.jpg
1738053226-8;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2320403;Chaussures Homme;11 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg
1738053230-9;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2320406;Chaussures Homme;11 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg
1738053233-10;https://sn.coinafrique.com/categorie/chaussures-homme?page=119;favorite_border4années;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2320408;Chaussures Homme;11 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg
